account_id,member_id,account_type,opened_date
ACC00001,M00001,Savings,2025-06-16
ACC00002,M00002,Savings,2022-02-20
ACC00003,M00003,Savings,2020-06-02
ACC00004,M00004,Savings,2023-01-09
ACC00005,M00005,Savings,2020-04-25
ACC00006,M00006,Savings,2022-06-23
ACC00007,M00007,Savings,2024-05-31
ACC00008,M00008,Savings,2025-09-20
ACC00009,M00009,Savings,2020-09-13
ACC00010,M00010,Savings,2022-06-18
ACC00011,M00011,Savings,2022-08-09
ACC00012,M00012,Savings,2025-09-08
ACC00013,M00013,Savings,2023-08-23
ACC00014,M00014,Savings,2019-12-13
ACC00015,M00015,Savings,2024-01-22
ACC00016,M00016,Savings,2021-06-27
ACC00017,M00017,Savings,2022-04-14
ACC00018,M00018,Savings,2021-12-30
ACC00019,M00019,Savings,2021-09-01
ACC00020,M00020,Savings,2023-12-26
ACC00021,M00021,Savings,2019-12-06
ACC00022,M00022,Savings,2020-10-18
ACC00023,M00023,Savings,2025-07-16
ACC00024,M00024,Savings,2020-11-24
ACC00025,M00025,Savings,2025-09-19
ACC00026,M00026,Savings,2024-01-21
ACC00027,M00027,Savings,2026-04-21
ACC00028,M00028,Savings,2021-05-28
ACC00029,M00029,Savings,2022-02-19
ACC00030,M00030,Savings,2026-05-10
ACC00031,M00031,Savings,2023-10-22
ACC00032,M00032,Savings,2021-12-15
ACC00033,M00033,Savings,2020-11-11
ACC00034,M00034,Savings,2024-06-18
ACC00035,M00035,Savings,2021-04-14
ACC00036,M00036,Savings,2022-03-08
ACC00037,M00037,Savings,2025-07-23
ACC00038,M00038,Savings,2024-01-27
ACC00039,M00039,Savings,2026-01-19
ACC00040,M00040,Savings,2022-11-07
ACC00041,M00041,Savings,2021-12-22
ACC00042,M00042,Savings,2024-01-14
ACC00043,M00043,Savings,2026-02-20
ACC00044,M00044,Savings,2021-07-16
ACC00045,M00045,Savings,2023-10-02
ACC00046,M00046,Savings,2025-07-20
ACC00047,M00047,Savings,2019-11-07
ACC00048,M00048,Savings,2020-10-13
ACC00049,M00049,Savings,2026-04-24
ACC00050,M00050,Savings,2022-12-31
ACC00051,M00051,Savings,2022-03-23
ACC00052,M00052,Savings,2023-05-25
ACC00053,M00053,Savings,2024-03-18
ACC00054,M00054,Savings,2025-05-09
ACC00055,M00055,Savings,2026-02-22
ACC00056,M00056,Savings,2022-03-27
ACC00057,M00057,Savings,2023-02-23
ACC00058,M00058,Savings,2026-03-09
ACC00059,M00059,Savings,2024-12-24
ACC00060,M00060,Savings,2020-07-18
ACC00061,M00061,Savings,2024-10-22
ACC00062,M00062,Savings,2024-08-03
ACC00063,M00063,Savings,2025-07-05
ACC00064,M00064,Savings,2026-03-12
ACC00065,M00065,Savings,2022-11-22
ACC00066,M00066,Savings,2020-12-01
ACC00067,M00067,Savings,2024-11-13
ACC00068,M00068,Savings,2023-12-30
ACC00069,M00069,Savings,2025-10-24
ACC00070,M00070,Savings,2022-01-12
ACC00071,M00071,Savings,2025-11-17
ACC00072,M00072,Savings,2020-05-30
ACC00073,M00073,Savings,2026-02-28
ACC00074,M00074,Savings,2022-02-13
ACC00075,M00075,Savings,2022-01-08
ACC00076,M00076,Savings,2022-12-13
ACC00077,M00077,Savings,2022-11-29
ACC00078,M00078,Savings,2019-12-13
ACC00079,M00079,Savings,2025-12-14
ACC00080,M00080,Savings,2021-06-19
ACC00081,M00081,Savings,2025-01-06
ACC00082,M00082,Savings,2021-04-21
ACC00083,M00083,Savings,2020-06-27
ACC00084,M00084,Savings,2025-08-02
ACC00085,M00085,Savings,2024-06-16
ACC00086,M00086,Savings,2024-12-08
ACC00087,M00087,Savings,2019-08-28
ACC00088,M00088,Savings,2021-03-24
ACC00089,M00089,Savings,2024-10-18
ACC00090,M00090,Savings,2021-01-12
ACC00091,M00091,Savings,2025-03-12
ACC00092,M00092,Savings,2024-12-28
ACC00093,M00093,Savings,2023-09-25
ACC00094,M00094,Savings,2024-02-09
ACC00095,M00095,Savings,2021-03-17
ACC00096,M00096,Savings,2024-06-09
ACC00097,M00097,Savings,2021-03-26
ACC00098,M00098,Savings,2023-03-09
ACC00099,M00099,Savings,2020-04-08
ACC00100,M00100,Savings,2020-08-17
ACC00101,M00101,Savings,2020-02-17
ACC00102,M00102,Savings,2021-07-09
ACC00103,M00103,Savings,2025-01-30
ACC00104,M00104,Savings,2019-08-10
ACC00105,M00105,Savings,2026-02-02
ACC00106,M00106,Savings,2021-09-25
ACC00107,M00107,Savings,2022-10-26
ACC00108,M00108,Savings,2020-01-19
ACC00109,M00109,Savings,2023-06-15
ACC00110,M00110,Savings,2019-12-11
ACC00111,M00111,Savings,2022-10-23
ACC00112,M00112,Savings,2025-06-15
ACC00113,M00113,Savings,2023-04-20
ACC00114,M00114,Savings,2025-10-01
ACC00115,M00115,Savings,2023-08-20
ACC00116,M00116,Savings,2024-10-15
ACC00117,M00117,Savings,2024-09-15
ACC00118,M00118,Savings,2020-10-20
ACC00119,M00119,Savings,2025-07-23
ACC00120,M00120,Savings,2024-12-27
ACC00121,M00121,Savings,2022-02-24
ACC00122,M00122,Savings,2023-12-19
ACC00123,M00123,Savings,2026-03-13
ACC00124,M00124,Savings,2025-09-19
ACC00125,M00125,Savings,2026-03-09
ACC00126,M00126,Savings,2020-09-25
ACC00127,M00127,Savings,2021-06-15
ACC00128,M00128,Savings,2024-11-03
ACC00129,M00129,Savings,2026-05-26
ACC00130,M00130,Savings,2019-11-07
ACC00131,M00131,Savings,2024-06-22
ACC00132,M00132,Savings,2026-01-24
ACC00133,M00133,Savings,2026-04-16
ACC00134,M00134,Savings,2022-01-23
ACC00135,M00135,Savings,2023-01-03
ACC00136,M00136,Savings,2020-06-16
ACC00137,M00137,Savings,2026-01-29
ACC00138,M00138,Savings,2024-03-30
ACC00139,M00139,Savings,2021-11-20
ACC00140,M00140,Savings,2023-08-16
ACC00141,M00141,Savings,2026-05-20
ACC00142,M00142,Savings,2022-12-19
ACC00143,M00143,Savings,2020-04-13
ACC00144,M00144,Savings,2024-08-03
ACC00145,M00145,Savings,2020-02-03
ACC00146,M00146,Savings,2024-04-03
ACC00147,M00147,Savings,2024-04-27
ACC00148,M00148,Savings,2020-01-05
ACC00149,M00149,Savings,2021-01-15
ACC00150,M00150,Savings,2023-10-07
ACC00151,M00151,Savings,2019-12-23
ACC00152,M00152,Savings,2024-01-14
ACC00153,M00153,Savings,2024-08-29
ACC00154,M00154,Savings,2025-05-18
ACC00155,M00155,Savings,2021-05-21
ACC00156,M00156,Savings,2023-06-03
ACC00157,M00157,Savings,2022-05-16
ACC00158,M00158,Savings,2025-01-15
ACC00159,M00159,Savings,2023-02-15
ACC00160,M00160,Savings,2022-08-01
ACC00161,M00161,Savings,2020-02-21
ACC00162,M00162,Savings,2023-10-24
ACC00163,M00163,Savings,2025-11-29
ACC00164,M00164,Savings,2020-08-29
ACC00165,M00165,Savings,2024-05-30
ACC00166,M00166,Savings,2023-11-05
ACC00167,M00167,Savings,2020-03-28
ACC00168,M00168,Savings,2026-04-05
ACC00169,M00169,Savings,2023-11-24
ACC00170,M00170,Savings,2023-03-09
ACC00171,M00171,Savings,2024-04-01
ACC00172,M00172,Savings,2024-12-14
ACC00173,M00173,Savings,2020-08-20
ACC00174,M00174,Savings,2020-12-20
ACC00175,M00175,Savings,2023-08-03
ACC00176,M00176,Savings,2022-12-21
ACC00177,M00177,Savings,2022-08-30
ACC00178,M00178,Savings,2022-04-22
ACC00179,M00179,Savings,2025-04-15
ACC00180,M00180,Savings,2021-02-25
ACC00181,M00181,Savings,2024-02-26
ACC00182,M00182,Savings,2019-10-26
ACC00183,M00183,Savings,2022-09-20
ACC00184,M00184,Savings,2020-05-22
ACC00185,M00185,Savings,2020-09-30
ACC00186,M00186,Savings,2024-08-17
ACC00187,M00187,Savings,2025-12-13
ACC00188,M00188,Savings,2025-11-25
ACC00189,M00189,Savings,2025-08-08
ACC00190,M00190,Savings,2019-12-28
ACC00191,M00191,Savings,2023-05-15
ACC00192,M00192,Savings,2023-06-15
ACC00193,M00193,Savings,2021-01-05
ACC00194,M00194,Savings,2021-09-27
ACC00195,M00195,Savings,2019-11-29
ACC00196,M00196,Savings,2020-11-23
ACC00197,M00197,Savings,2025-01-24
ACC00198,M00198,Savings,2020-05-21
ACC00199,M00199,Savings,2020-05-25
ACC00200,M00200,Savings,2023-06-11
ACC00201,M00201,Savings,2020-02-22
ACC00202,M00202,Savings,2026-04-25
ACC00203,M00203,Savings,2019-11-12
ACC00204,M00204,Savings,2025-12-08
ACC00205,M00205,Savings,2021-08-03
ACC00206,M00206,Savings,2024-07-03
ACC00207,M00207,Savings,2020-05-01
ACC00208,M00208,Savings,2020-03-24
ACC00209,M00209,Savings,2023-07-22
ACC00210,M00210,Savings,2019-10-18
ACC00211,M00211,Savings,2020-06-20
ACC00212,M00212,Savings,2024-02-04
ACC00213,M00213,Savings,2025-04-21
ACC00214,M00214,Savings,2020-12-12
ACC00215,M00215,Savings,2021-05-07
ACC00216,M00216,Savings,2020-05-21
ACC00217,M00217,Savings,2025-06-26
ACC00218,M00218,Savings,2026-04-15
ACC00219,M00219,Savings,2025-12-20
ACC00220,M00220,Savings,2025-01-31
ACC00221,M00221,Savings,2024-01-21
ACC00222,M00222,Savings,2024-09-16
ACC00223,M00223,Savings,2023-08-28
ACC00224,M00224,Savings,2022-04-13
ACC00225,M00225,Savings,2021-04-17
ACC00226,M00226,Savings,2024-09-26
ACC00227,M00227,Savings,2022-03-15
ACC00228,M00228,Savings,2024-10-11
ACC00229,M00229,Savings,2023-08-09
ACC00230,M00230,Savings,2025-09-15
ACC00231,M00231,Savings,2026-05-09
ACC00232,M00232,Savings,2021-02-12
ACC00233,M00233,Savings,2023-03-28
