branch_id,branch_name,town,opened_date
BR001,Nairobi CBD Branch,Nairobi CBD,2024-12-22
BR002,Kiambu Branch,Kiambu,2021-07-13
BR003,Thika Branch,Thika,2022-10-06
BR004,Nakuru Branch,Nakuru,2022-03-04
BR005,Eldoret Branch,Eldoret,2025-03-08
BR006,Kisumu Branch,Kisumu,2021-11-17
BR007,Meru Branch,Meru,2023-10-04
BR008,Nyeri Branch,Nyeri,2021-07-23
BR009,Machakos Branch,Machakos,2022-08-13
BR010,Mombasa Branch,Mombasa,2024-03-22
BR011,Kakamega Branch,Kakamega,2021-07-16
BR012,Kericho Branch,Kericho,2022-07-04
BR013,Embu Branch,Embu,2025-04-28
BR014,Naivasha Branch,Naivasha,2023-09-29
BR015,Kitengela Branch,Kitengela,2023-11-28
