loan_id,guarantor_member_id
L00001,M00702
L00001,M00534
L00002,M00426
L00002,M00789
L00003,M00040
L00003,M00661
L00004,M00728
L00004,M00177
L00005,M00899
L00005,M00620
L00006,M01222
L00006,M00876
L00007,M00795
L00007,M01180
L00008,M00334
L00008,M00049
L00009,M00005
L00009,M01152
L00010,M00605
L00010,M00354
L00011,M01038
L00011,M00985
L00012,M00599
L00012,M01141
L00013,M00075
L00013,M00209
L00014,M00293
L00014,M01035
L00015,M01232
L00015,M00483
L00016,M00316
L00016,M00538
L00017,M01440
L00017,M00287
L00018,M01066
L00018,M00722
L00019,M01458
L00019,M00742
L00020,M00830
L00020,M00380
L00021,M00004
L00021,M00088
L00022,M01141
L00022,M00944
L00023,M01205
L00023,M00362
L00024,M01414
L00024,M00967
L00025,M00111
L00025,M00024
L00026,M00223
L00026,M01346
L00027,M00087
L00027,M01160
L00028,M01219
L00028,M00147
L00029,M01187
L00029,M00218
L00030,M00242
L00030,M01489
L00031,M01079
L00031,M00557
L00032,M01180
L00032,M00488
L00033,M00542
L00033,M00357
L00034,M00201
L00034,M00010
L00035,M01019
L00035,M01085
L00036,M00781
L00036,M00566
L00037,M00198
L00037,M00296
L00038,M01466
L00038,M00937
L00039,M00216
L00039,M00368
L00040,M01185
L00040,M01227
L00041,M01397
L00041,M00185
L00042,M00285
L00042,M01232
L00043,M00198
L00043,M01459
L00044,M01362
L00044,M00679
L00045,M01430
L00045,M00039
L00046,M00279
L00046,M00068
L00047,M00421
L00047,M00400
L00048,M01430
L00048,M01178
L00049,M01406
L00049,M00003
L00050,M01151
L00050,M01152
L00051,M00879
L00051,M00399
L00052,M00833
L00052,M01286
L00053,M01117
L00053,M00226
L00054,M01388
L00054,M00976
L00055,M00226
L00055,M00095
L00056,M00665
L00056,M00555
L00057,M00232
L00057,M01396
L00058,M00475
L00058,M00621
L00059,M00707
L00059,M00105
L00060,M00378
L00060,M00957
L00061,M00271
L00061,M00041
L00062,M00746
L00062,M00574
L00063,M00651
L00063,M01152
L00064,M01003
L00064,M00854
L00065,M00195
L00065,M00516
L00066,M00678
L00066,M00977
L00067,M01095
L00067,M01380
L00068,M01166
L00068,M00162
L00069,M00695
L00069,M00671
L00070,M01023
L00070,M00246
L00071,M00378
L00071,M00807
L00072,M00245
L00072,M01454
L00073,M00293
L00073,M00342
L00074,M01150
L00074,M01055
L00075,M00768
L00075,M01216
L00076,M00936
L00076,M01114
L00077,M00366
L00077,M01107
L00078,M00417
L00078,M00170
L00079,M00655
L00079,M00684
L00080,M00201
L00080,M01414
L00081,M00317
L00081,M00366
L00082,M01275
L00082,M01036
L00083,M01276
L00083,M00654
L00084,M00811
L00084,M00721
L00085,M01114
L00085,M00819
L00086,M00635
L00086,M00584
L00087,M00490
L00087,M01381
L00088,M00708
L00088,M01113
L00089,M00882
L00089,M00565
L00090,M00320
L00090,M00522
L00091,M01302
L00091,M00837
L00092,M01117
L00092,M00609
L00093,M00646
L00093,M01121
L00094,M01254
L00094,M00649
L00095,M00311
L00095,M01336
L00096,M01140
L00096,M01259
L00097,M00145
L00097,M00341
L00098,M01160
L00098,M00733
L00099,M00407
L00099,M00360
L00100,M01102
L00100,M00269
L00101,M01250
L00101,M00559
L00102,M01172
L00102,M01002
L00103,M00169
L00103,M01358
L00104,M00975
L00104,M00901
L00105,M00637
L00105,M00479
L00106,M00256
L00106,M00496
L00107,M01402
L00107,M00995
L00108,M01380
L00108,M01388
L00109,M01372
L00109,M00758
L00110,M01005
L00110,M01432
L00111,M00630
L00111,M00039
L00112,M01211
L00112,M00858
L00113,M01173
L00113,M00487
L00114,M00747
L00114,M00102
L00115,M00962
L00115,M00038
L00116,M00856
L00116,M00590
L00117,M00040
L00117,M01009
L00118,M00956
L00118,M00354
L00119,M01456
L00119,M01499
L00120,M01160
L00120,M00844
L00121,M00148
L00121,M00264
L00122,M00832
L00122,M01251
L00123,M00815
L00123,M00218
L00124,M00844
L00124,M01393
L00125,M00486
L00125,M00593
L00126,M00332
L00126,M00379
L00127,M00037
L00127,M01383
L00128,M00597
L00128,M00772
L00129,M00098
L00129,M01434
L00130,M00219
L00130,M01175
L00131,M01285
