loan_id,member_id,amount,term_months,interest_rate,approved_by,approval_timestamp,disbursement_timestamp,status
L00001,M01294,152300.0,36,12.0,EMP0045,2025-10-28T15:55:43,2025-10-30T15:55:43,Active
L00002,M01362,97000.0,6,12.0,EMP0034,2026-05-05T12:03:27,2026-05-08T12:03:27,Active
L00003,M00989,27200.0,6,12.0,EMP0010,2026-05-06T13:30:52,2026-05-07T13:30:52,Active
L00004,M00053,177100.0,24,12.0,EMP0001,2025-08-04T16:34:54,2025-08-07T16:34:54,Active
L00005,M00286,291900.0,12,12.0,EMP0036,2025-12-16T15:58:11,2025-12-16T15:58:11,Active
L00006,M01205,162700.0,6,12.0,EMP0046,2025-12-22T16:54:50,2025-12-22T16:54:50,Active
L00007,M00901,35300.0,24,12.0,EMP0042,2026-05-12T14:11:55,2026-05-13T14:11:55,Active
L00008,M00210,50500.0,24,12.0,EMP0025,2025-12-08T08:37:15,2025-12-11T08:37:15,Active
L00009,M00165,133900.0,36,12.0,EMP0037,2026-02-27T10:19:34,2026-03-01T10:19:34,Active
L00010,M00863,187900.0,36,12.0,EMP0024,2025-11-28T11:54:35,2025-11-30T11:54:35,Active
L00011,M01107,172900.0,6,12.0,EMP0019,2026-03-02T11:39:05,2026-03-04T11:39:05,Active
L00012,M01442,185300.0,12,12.0,EMP0027,2025-10-07T11:27:38,2025-10-07T11:27:38,Active
L00013,M01415,59500.0,24,12.0,EMP0046,2025-11-07T12:56:12,2025-11-08T12:56:12,Active
L00014,M00984,254800.0,36,12.0,EMP0046,2026-03-05T09:22:56,2026-03-05T09:22:56,Active
L00015,M00268,129600.0,6,12.0,EMP0028,2026-02-13T10:10:12,2026-02-14T10:10:12,Active
L00016,M01240,252500.0,6,12.0,EMP0027,2026-05-18T10:45:45,2026-05-21T10:45:45,Active
L00017,M01360,289100.0,18,12.0,EMP0023,2026-05-28T16:09:43,2026-05-30T16:09:43,Active
L00018,M00831,73700.0,36,12.0,EMP0043,2025-09-03T13:39:03,2025-09-03T13:39:03,Active
L00019,M00113,135300.0,18,12.0,EMP0020,2025-12-08T16:55:52,2025-12-11T16:55:52,Active
L00020,M00437,255000.0,12,12.0,EMP0040,2025-10-24T16:19:06,2025-10-27T16:19:06,Active
L00021,M00463,14100.0,12,12.0,EMP0037,2026-01-13T08:42:10,2026-01-16T08:42:10,Active
L00022,M00300,12400.0,36,12.0,EMP0037,2025-07-28T08:23:57,2025-07-30T08:23:57,Active
L00023,M01121,121800.0,18,12.0,EMP0046,2026-03-26T11:01:03,2026-03-28T11:01:03,Active
L00024,M00947,35200.0,24,12.0,EMP0028,2026-04-14T15:48:27,2026-04-16T15:48:27,Active
L00025,M00594,86400.0,6,12.0,EMP0042,2026-05-05T11:20:46,2026-05-05T11:20:46,Active
L00026,M00833,85500.0,36,12.0,EMP0043,2026-01-15T13:44:46,2026-01-17T13:44:46,Active
L00027,M00285,225100.0,12,12.0,EMP0006,2025-10-03T13:50:59,2025-10-04T13:50:59,Active
L00028,M00256,99800.0,6,12.0,EMP0006,2025-11-21T13:24:56,2025-11-24T13:24:56,Active
L00029,M01469,282200.0,24,12.0,EMP0046,2025-09-26T08:38:17,2025-09-27T08:38:17,Active
L00030,M00962,231400.0,24,12.0,EMP0018,2026-01-26T08:09:07,2026-01-29T08:09:07,Active
L00031,M01378,256400.0,6,12.0,EMP0034,2025-12-10T09:39:23,2025-12-12T09:39:23,Active
L00032,M00341,99300.0,18,12.0,EMP0041,2025-09-18T09:17:28,2025-09-18T09:17:28,Active
L00033,M00909,63400.0,12,12.0,EMP0028,2026-02-18T15:12:59,2026-02-19T15:12:59,Active
L00034,M00141,266500.0,12,12.0,EMP0043,2026-05-20T14:44:14,2026-05-21T14:44:14,Active
L00035,M01357,272200.0,12,12.0,EMP0037,2025-07-24T12:35:54,2025-07-24T12:35:54,Active
L00036,M00580,216600.0,12,12.0,EMP0006,2026-01-28T10:21:13,2026-01-29T10:21:13,Active
L00037,M00019,69500.0,6,12.0,EMP0001,2025-10-17T10:09:33,2025-10-20T10:09:33,Active
L00038,M00161,207200.0,6,12.0,EMP0001,2026-04-29T14:38:00,2026-05-01T14:38:00,Active
L00039,M00795,98500.0,18,12.0,EMP0010,2026-03-27T13:52:08,2026-03-29T13:52:08,Active
L00040,M01064,16000.0,24,12.0,EMP0007,2025-09-01T08:21:00,2025-09-01T08:21:00,Active
L00041,M00110,290800.0,12,12.0,EMP0046,2026-05-13T12:21:57,2026-05-16T12:21:57,Active
