transaction_id,account_id,member_id,transaction_type,amount,timestamp,recipient,channel
T0009192,ACC00253,M00253,Deposit,3189.96,2025-07-01T01:04:34,,Branch
T0052789,ACC01459,M01459,Withdrawal,9315.42,2025-07-01T01:07:54,,Branch
T0023123,ACC00647,M00647,Withdrawal,6945.31,2025-07-01T01:16:25,,Branch
T0024089,ACC00673,M00673,Deposit,4442.37,2025-07-01T01:17:52,,Branch
T0032332,ACC00912,M00912,Withdrawal,7578.48,2025-07-01T01:18:39,,Branch
T0053913,ACC01483,M01483,Deposit,21022.38,2025-07-01T01:44:32,,Branch
T0029082,ACC00809,M00809,Withdrawal,1692.84,2025-07-01T01:47:50,,Branch
T0037346,ACC01055,M01055,Deposit,38543.71,2025-07-01T02:02:04,,Branch
T0004046,ACC00113,M00113,Withdrawal,3898.36,2025-07-01T02:19:23,,Branch
T0016007,ACC00446,M00446,Withdrawal,1766.82,2025-07-01T02:20:28,,Branch
T0002756,ACC00077,M00077,Deposit,2097.26,2025-07-01T02:25:16,,Branch
T0042339,ACC01182,M01182,Withdrawal,4199.93,2025-07-01T02:55:29,,Branch
T0041142,ACC01148,M01148,Withdrawal,5928.57,2025-07-01T03:16:54,,Branch
T0044587,ACC01242,M01242,Withdrawal,5744.46,2025-07-01T03:17:29,,Branch
T0054040,ACC01489,M01489,Deposit,6184.42,2025-07-01T03:20:14,,Branch
T0014257,ACC00406,M00406,Withdrawal,23869.91,2025-07-01T03:36:55,,Branch
T0035423,ACC01002,M01002,Deposit,13732.29,2025-07-01T03:37:33,,Branch
T0045304,ACC01264,M01264,Deposit,1191.41,2025-07-01T03:49:05,,Branch
T0003797,ACC00107,M00107,Deposit,10611.9,2025-07-01T04:06:28,,Branch
T0031376,ACC00878,M00878,Withdrawal,11625.14,2025-07-01T04:09:53,,Branch
T0046768,ACC01306,M01306,Withdrawal,12648.88,2025-07-01T04:50:37,,Branch
T0003301,ACC00093,M00093,Withdrawal,7527.54,2025-07-01T05:04:51,,Branch
T0033952,ACC00957,M00957,Withdrawal,9172.93,2025-07-01T05:07:37,,Branch
T0047804,ACC01336,M01336,Deposit,22328.95,2025-07-01T05:12:24,,Branch
T0020340,ACC00566,M00566,Withdrawal,1410.44,2025-07-01T05:21:38,,Branch
T0017501,ACC00488,M00488,Withdrawal,1598.49,2025-07-01T05:33:12,,Branch
T0025394,ACC00710,M00710,Withdrawal,831.16,2025-07-01T05:46:33,,Branch
T0015233,ACC00428,M00428,Withdrawal,27099.02,2025-07-01T06:13:35,,Branch
T0024439,ACC00683,M00683,Withdrawal,24092.37,2025-07-01T06:20:15,,Branch
T0051535,ACC01427,M01427,Deposit,7936.91,2025-07-01T06:34:55,,Branch
T0023437,ACC00657,M00657,Withdrawal,9313.77,2025-07-01T06:40:20,,Branch
T0006278,ACC00173,M00173,Withdrawal,5305.08,2025-07-01T06:50:36,,Branch
T0024949,ACC00695,M00695,Deposit,20391.32,2025-07-01T07:13:23,,Branch
T0009071,ACC00250,M00250,Withdrawal,2005.91,2025-07-01T07:23:30,,Branch
T0024266,ACC00679,M00679,Withdrawal,4661.45,2025-07-01T07:32:11,,Branch
T0018812,ACC00527,M00527,Deposit,17101.98,2025-07-01T07:36:38,,Branch
T0018295,ACC00507,M00507,Withdrawal,20149.91,2025-07-01T07:40:40,,Branch
T0048091,ACC01342,M01342,Withdrawal,10324.02,2025-07-01T08:01:39,,Branch
T0023986,ACC00671,M00671,Withdrawal,1330.22,2025-07-01T08:17:39,,Branch
T0011826,ACC00334,M00334,Deposit,27019.61,2025-07-01T08:18:55,,Branch
